comment1|comment2|comment3|comment4|comment5|comment6|comment7|comment8|comment9|comment10|comment11|comment12|comment13|comment14|comment15|comment16
0:23;;0:44;;It was very interesting to see that during the ealy 1800s most conuntries were all in a similar situation income/life expectancy wise. Especially including countries in Africa that we tend to associate as being poorer with a lower life expectancy. So to see them as similar with European countries is very unexpected.|1:2;;1:7;;Looking at the traces of the bubbles especially during the industrial revolution period clearly highlights the differences between whats occuring in the countries and starting to begin to see the the African countries move lower on the graphy whilst European countries move in an upper trajectory.|1:7;;1:49;;By individually highlighting each continent you can clearly see how dramatic of an impact the First World War had on all continents. Bubbles make it very clear. The drop in the African income/life expectancy is staggering.|1:52;;1:59;;In 1933 seeing the sudden increase in life expectancy in Kazakhstan and other Central Asian countries makes me curious to find out what was causing this suddent increase.|2:8;;2:19;;Being able to look at the different directions of the countries during the Second World War clearly shows how the war impacted all the countries in various ways, with some being affected a lot worse.|2:37;;2:52;;By using the bubbles you can see a stark difference between Australia/ New Zealand/Western/Southern Asia compared to North & South Korea, Japan. As you've got Australia etc continuing the rise slowly whilst Japan and Korea struggling.|3:4;;3:14;;It's interesting to see that in 1975 the difference between the countries was wider than ever and begs the question what exactly about 1975 made this happen.|-|-|-|-|-|-|-|-|-
0:45;;0:47;;I could not read and dialogue but a clear massive drop life expectancy at this stage of the graph in Africa|1:15;;1:32;;A dreadful time for humanity woth the millions killed in world War 1 then the Spanish flu pandemic as well so sad|2:14;;2:52;;I found it very surprising that in the lead up to and including the whole of Workd War 2 there was an increase in populations of many countries and these countries were ones that had very many soldiers fighting and yowns and cities being bombed|-|-|-|-|-|-|-|-|-|-|-|-|-
0:50;;0:58;;It is interesting that the industrial revolution had an impact on life expectancy in europe but not asia and africa, causing greater disparity between the continents|1:10;;1:26;;I liked that the video showed all of the continents' data at once and then slowed the video down and analysed each country's data individually so you could see how the world war and the flu influenced each area individually|2:26;;2:34;;It is interesting to see what a great impact war has on life expectancy, reducing some countries' life expectancy to just over 20 years old which is shocking|3:6;;3:13;;It's interesting to see all of the countries advancing in life expectancy and wealth but some countries advancing further, creating great disparity|-|-|-|-|-|-|-|-|-|-|-|-
0:49;;1:5;;It is interesting how European countries saw an increased income from 1815 to 1915, and the majority of the remaining countries stayed relatively static. This demonstrates strong economic growth in Europe compared to other territories.|1:7;;1:16;;The trace of bubbles here clearly exemplifies how horrific the mortality rate was globally (with only a few small exceltions) as a result of the Spanish Flu & World War 1. No country saw an increase in life expectancy between 1917-1919.|1:16;;1:24;;Australia and New Zealand are by far has the wealthiest citizens and longest life expectancy compared to the rest of Asia during the period of 1917-1919.|1:54;;2:1;;Interesting to see how Central Asia and Kazakhstan dramatically improve their life expectancy to be more relatable to the rest of the region in 1933-1934. The graph illustrates this very clearly.|3:5;;3:9;;The genreal trend of income of different countries becomes wider as the years progress, showing a wider disparity in economic/wealth levels as certain countries progress as other countries economies remain very weak. Europe and America remain strong throughout, but certain smaller Asian (Middle Eastern) countries (E.g. Saudi Arabia, Kuwait) develop high income (making their income from oil etc.)|-|-|-|-|-|-|-|-|-|-|-
0:9;;0:17;;The different colours of the bubbles make it easy to track each region.|1:10;;1:49;;It is almost shocking to note the huge drop in life expectancy as a result of the first world war, the shifting bubbles make it very clear.|1:53;;2:8;;It is helpful so see different parts of various regions broken down individually.|2:55;;3:5;;I didn't realise how significant the overall increase in income and life exceptancy was between 1950-1975, the graph illustrates this very well.|-|-|-|-|-|-|-|-|-|-|-|-
0:46;;0:52;;it is interesting to know how small life expectancy was in different countries|1:3;;1:7;;It is interesting to visually see how the life expectancy increases and so does the income|1:17;;2:41;;It is fascinating to see what the effects of the flu had around the world|-|-|-|-|-|-|-|-|-|-|-|-|-
0:31;;0:42;;Interesting to show where africa & Asia did not move and relating this to their current state.The question would be why a colonized state of a firs-world country such as UK would not benefit anywhere near that of the leading countr in life expactancy, as shown.|0:51;;1:16;;Beginning links to previous segment.Huge drop was interesting to watch, some countries move left only?A note would be good to explain this maybe.|2:13;;2:43;;Could see EU was the focus of battle withother countries remaining relatively stable.|2:53;;3:6;;An answer to a previous comment, a huge lag-time was clear thoughof 60 odd-years.|-|-|-|-|-|-|-|-|-|-|-|-
0:48;;1:5;;It is interesting at first to see European countries starting to rise and how much compared to the other colors.|1:7;;1:12;;the drop really helps demonstrate how severe this truly was at the time from 1917-1919|2:1;;2:8;;the way life expectancy dropped and then a year later was able to rise back up again is very interesting and the way you can see exactly the amount|2:13;;2:19;;the second world war can been seen here how it affected different area in many different ways and really can show how complex it was as an event for the world.|-|-|-|-|-|-|-|-|-|-|-|-
0:1;;0:7;;The axes of the graph are explained in terms which are simple enough for laymen to understand.|0:8;;0:20;;What each bubble represents is explained clearly, and it is interesting to note that at the start of the 19th century, the income and life expectancy levels in Asia and Africa were lower than those of American & European countries.|0:22;;0:27;;Interestingly, the variance of life expectancy between that of the country with the highest and that of the lowest was only around 20-30 years (excluding an outlying African country).|0:39;;0:49;;There is an African country in which the life expectancy fell dramatically in 1819, but this eventually recovers (or the country ceases to exist?) in 4 years' time.|1:8;;1:15;;It is interesting to note that the First World War and Spanish Flu Pandemic resulted in a marked drop in life expectancy in all countries worldwide, regardless of wealth at the time.|1:53;;1:59;;The life expectancy in Kazakhstan increased by almost 40 years between the years 1933 to 1934.|2:10;;2:54;;The life expectancy for different countries moved in different directions in the Second World War, a contrast to that of the First which resulted in a global decrease.|-|-|-|-|-|-|-|-|-
0:0;;0:6;;It was good seeing what each axis represented and the blue writing really helped to summarise the meaning.|0:9;;0:16;;I liked seeing the different colours representing different continents but it was hard to remember which colour was which.|0:18;;0:20;;It was interesting that different sizes of bubbles mean different populations because in the rest of the video I forget about the bubble sizes altogether.|0:21;;0:48;;This whole section of not much happening helped me to understand how rapid the changes were later on (although it did put me off watching further because not much was happening).|0:49;;1:4;;Watching Europe gradually creep upwards was cool. The comment about colonized countries made me wonder if colonization itself hindered those countries or if they weren't making those advances due to other reasons (lack of resources or something).|1:10;;1:12;;Watching the whole world drop in life expectancy like that was very impressive and also very scary given we have a global pandemic right now.|1:17;;1:47;;Highlighting individual regions really helped me see how each region was separately impacted over those years.|1:55;;1:59;;The grey blobs shifting upwards all at once really emphasised what a big change it was across the whole region, not just in one country.|2:1;;2:6;;I got distracted by the life expectancy dropping but no real indication as to WHY that happened. Was there a war?|2:6;;2:7;;The fade lines where the bubbles used to be work really well here because they are so long, which shows how rapidly the situation changed.|2:23;;2:34;;I wasn't sure why Europe was grouped into two different grey blobs or how you chose to group the countries.|2:52;;2:55;;Watching all the countries climbing higher up the life expectancy line is great. I love how the world as a whole is moving upwards with all the bubbles visible at once.|2:59;;3:4;;Watching the whole world getting healthier and richer is so uplifting!|3:24;;3:27;;Wow! Even the African countries that we usually assume are poorer and struggling more are still way better off than they were at the start of the video. This was so uplifting! The world is really becoming a better place.|-|-
