Order,Video,time_s,time_e,,hand gesture,,video editing,,time adjustment,
4,"The best stats you've ever seen;TED, Jan 16, 2007",3:26,3:31,Y,pointing,N,,N,,adding video starting point
,,3:39,3:45,Y,pointing,N,,N,,https://www.youtube.com/watch?v=hVimVzgtD6w
,,3:51,3:58,Y,moving,N,,N,,
,,4:06,4:10,Y,moving,N,,N,,
,,4:18,4:20,Y,pointing,N,,N,,
,,4:20,4:30,Y,moving,N,,N,,
,,4:30,4:42,Y,pointing,N,,N,,
,,4:48,4:58,Y,moving,N,,N,,
,,5:04,5:14,N,,N,,Y,instant replay,
,,5:21,5:28,N,,Y,labeling,N,,
,,5:28,5:40,N,,Y,tracing,N,,
,,5:40,5:53,Y,moving,Y,tracing,N,,
,,5:53,5:59,N,,Y,tracing,N,,
,,5:59,6:06,Y,pointing,Y,labeling,N,,
1,"Hans Rosling's 200 Countries, 200 Years, 4 Minutes;BBC, Nov 26, 2010",0:34,0:53,Y,pointing,N,,N,,https://www.youtube.com/watch?v=jbkSRLYSojo
,,1:01,1:09,Y,pointing,N,,N,,
,,1:10,1:13,Y,shaping,Y,labeling,N,,
,,1:14,1:17,Y,pointing,N,,N,,
,,1:19,1:23,Y,shaping,Y,labeling,N,,
,,1:23,1:28,N,,Y,labeling,N,,
,,1:30,1:39,N,,N,,Y,move fast,
,,1:39,1:42,Y,pointing,N,,Y,move fast,
,,1:43,1:47,Y,moving,N,,Y,move fast,
,,1:48,1:57,N,,N,,Y,slow down,
,,1:54,1:57,Y,moving,N,,Y,slow down,
,,2:02,2:04,N,,N,,Y,move fast,"In this section, it seems a normal speed"
,,2:04,2:05,Y,moving,N,,Y,move fast,
,,2:05,2:07,N,,N,,Y,move fast,
,,2:07,2:09,N,,Y,labeling,Y,move fast,
,,2:09,2:11,Y,moving,N,,Y,move fast,
,,2:11,2:16,N,,N,,Y,move fast,
,,2:17,2:23,N,,N,,Y,pause,
,,2:23,2:25,N,,Y,labeling,Y,pause,
,,2:25,2:29,N,,N,,Y,pause,
,,2:29,2:33,Y,shaping,N,,Y,pause,
,,2:33,2:50,Y,pointing,Y,labeling,Y,pause,
,,2:54,3:04,Y,moving,N,,Y,move fast,
,,3:04,3:09,Y,moving,Y,labeling,Y,move fast,
,,3:09,3:11,N,,N,,Y,move fast,
,,3:11,3:17,Y,pointing,Y,labeling,Y,move fast,
,,3:17,3:21,N,,N,,Y,pause,
,,3:21,3:23,N,,N,,Y,pause,
,,3:23,3:25,Y,pointing,N,,Y,pause,
,,3:25,3:28,N,,N,,Y,pause,
,,3:28,3:31,Y,pointing,Y,labeling,Y,pause,
,,3:31,3:39,N,,N,,Y,pause,
,,3:39,3:45,Y,moving,Y,labeling,Y,pause,
,,3:45,3:48,N,,Y,labeling,Y,pause,
,,3:48,3:53,Y,moving,Y,labeling,Y,pause,
,,3:53,3:57,Y,pointing,Y,labeling,Y,pause,
,,3:57,4:15,N,,N,,Y,instant replay,
,,4:16,4:28,N,,Y,labeling,N,,
6,"Religions and babies;TED, May 22, 2012",2:42,2:42,N,,N,,N,,adding video starting point
,,2:47,2:53,Y,pointing,Y,labeling,N,,https://www.youtube.com/watch?v=ezVk1ahRF78&feature=youtu.be&t=463
,,2:53,3:38,N,,Y,flickering,N,,labeling accompany mouse cursor moving in this section
,,3:47,4:15,Y,pointing,N,,N,,
,,4:18,4:21,N,,Y,flickering,N,,
,,4:22,4:27,Y,pointing,Y,labeling,N,,
,,4:28,4:42,N,,Y,flickering,N,,
,,4:47,5:17,Y,moving,N,,N,,
,,5:25,5:29,N,,N,,Y,instant replay,
,,5:31,5:51,Y,pointing,Y,labeling,N,,
,,6:14,6:30,N,,Y,flickering,N,,
,,6:33,6:39,Y,moving,N,,N,,
,,6:45,7:02,Y,pointing,Y,labeling,N,,
,,7:15,7:20,N,,Y,labeling,N,,
,,7:36,7:41,Y,pointing,Y,labeling,N,,
,,7:41,7:48,N,,Y,labeling,Y,go backward,
,,7:48,7:53,N,,Y,labeling,N,,
,,7:53,7:56,N,,Y,tracing,Y,go backward,"after going backward, move fast"
,,8:04,8:06,Y,pointing,N,,N,,
,,8:25,8:28,Y,pointing,Y,labeling,N,,
,,8:28,8:32,N,,Y,labeling,Y,go backward,
,,8:32,8:39,N,,Y,labeling,N,,
,,8:39,8:44,N,,Y,tracing,Y,go backward,"after going backward, move fast"
-1,"Correlating income and life expectancy throughout history;Think Global School, Dec 1, 2015",3:20,3:31,Y,pointing,N,,N,,https://www.youtube.com/watch?v=8suAGffNG6k&feature=youtu.be&t=272
,,3:34,3:36,Y,moving,N,,N,,
,,3:42,3:47,Y,pointing,Y,labeling,N,,
,,4:02,4:09,N,,N,,Y,move fast,
,,4:09,4:20,N,,N,,Y,slow down,
,,4:20,4:27,N,,N,,Y,move fast,
,,4:28,4:33,N,,N,,Y,go backward,
,,4:33,4:37,N,,N,,Y,move fast,
,,4:37,4:40,N,,N,,Y,go backward,
,,4:40,4:42,N,,N,,Y,move fast,
,,4:42,4:49,N,,N,,Y,slow down,
,,4:49,4:52,N,,N,,Y,go backward,
